settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-03-07,38,38432,39612,35316,2684,6562,0,17007,0,5,2910,1874,923,0,-449,-126,601,1397,893,227,0
2024-07-20,14,19865,21418,18409,811,6563,858,17193,0,76,2331,2002,896,0,-451,-526,999,1397,900,481,0
2024-02-01,1,24751,27848,23078,2944,6562,0,16848,0,1562,5021,1184,-4,501,-400,-531,857,1397,930,795,0
2024-07-31,43,28473,29959,25933,570,6563,0,17193,0,7,-30,1258,865,0,-452,-527,451,1399,906,0,0
2024-02-09,18,34825,36427,32337,3336,6562,340,16866,0,15,5412,994,-4,716,-452,-531,999,697,998,1412,0
2024-03-26,2,24784,25917,22695,1253,6562,0,17088,0,66,1322,1998,992,546,-351,-116,865,1398,996,677,0
2024-09-12,5,19659,22899,18345,1935,6622,0,16396,0,69,2625,997,-1,-797,-371,-530,411,1398,996,-972,0
2024-06-01,13,18136,20681,16401,1105,6562,761,17193,0,875,-877,1245,992,751,-351,-527,147,1399,996,-292,0
2024-05-01,27,26171,27102,23373,628,6562,6534,17193,0,4,-460,1005,991,502,-195,-232,1019,1398,996,1418,0
2024-01-01,48,20060,25036,18907,3840,6488,0,16727,0,974,4580,1060,-4,-621,-252,-210,-689,-899,822,-727,0
2024-08-02,38,26580,28866,24480,2190,6563,1375,17193,0,12,1877,1370,992,0,-451,-297,457,1399,997,-1026,0
2024-09-15,39,28984,30471,26773,1073,6622,4,16399,0,6,2068,1000,-1,145,-452,-528,227,1399,997,270,0
2024-04-23,34,28941,30843,26423,2044,6562,4044,17143,0,12,371,1005,992,440,-185,-405,970,1248,996,-800,0
2024-06-18,31,23675,24355,21506,1213,6562,6516,17193,0,7,449,2007,30,284,-173,0,125,1399,997,0,0
2024-11-27,14,30430,33857,27641,1658,6622,0,17194,0,10,-448,1002,991,-766,-450,-505,354,698,0,-1096,0
2024-01-04,34,40144,42869,36665,734,6488,0,16731,0,5,2045,1999,-4,-1007,-451,-529,1019,1368,997,-94,0
2024-10-03,38,34020,34522,31044,952,6622,0,17194,0,1,2415,939,-1,684,400,112,745,1397,0,754,0
2024-03-30,33,22992,23713,21000,899,6562,3886,17098,0,8,1170,1495,981,720,-113,0,689,1399,998,414,0
2024-07-14,26,21936,23427,19766,855,6562,6064,17193,0,13,-252,2003,991,0,-451,-527,1019,1398,996,989,0
2024-09-29,43,26269,27519,24229,3772,6622,0,17194,0,235,2937,998,-1,519,-323,-191,999,1397,0,863,0
2024-01-09,28,37329,41688,33867,2462,6488,4177,16740,0,3,454,-1583,-4,1002,-257,0,0,-429,-686,-797,0
2024-04-19,7,19156,24606,18030,3230,6562,0,17143,0,961,3700,520,900,-1014,-379,0,-976,-822,824,-798,0
2024-07-19,44,26548,29155,24811,1298,6563,0,17193,0,5,3021,237,42,0,-451,-527,-679,1399,121,-445,0
2024-01-16,16,38784,42130,35351,929,6488,0,16758,0,15,2249,-927,-4,476,81,7,-698,86,-346,-756,0
2024-06-21,7,18655,20705,17393,1171,6562,0,17193,0,555,2571,1676,949,-995,158,0,159,1399,992,0,0
2024-09-18,18,28179,29676,25510,1018,6622,1707,17194,0,16,-405,824,-1,779,-452,-528,689,1397,779,653,0
2024-03-25,43,31391,32980,28601,1621,6562,0,17084,0,7,678,1999,991,733,-451,-531,874,1343,997,288,0
2024-05-02,23,26960,28454,25108,2460,6562,5399,17193,0,14,2820,1004,991,1002,-451,-529,1019,1396,997,1416,0
2024-07-19,38,26852,29800,24978,1728,6563,2170,17193,0,6,2936,1316,667,0,-451,-526,-373,1399,505,-1092,0
2024-02-12,10,21953,23748,20349,1636,6562,0,16874,0,778,2910,1289,-4,167,-304,-109,280,1187,218,341,0
2024-09-24,12,21126,23715,19147,833,6622,0,17194,0,9,1146,1001,-1,-739,-392,-80,0,1398,997,-868,0
2024-05-14,37,28627,29600,26041,1481,6562,1722,17193,0,11,1024,1005,-3,103,-451,0,173,1397,998,1425,0
2024-08-07,34,24489,26068,23015,3444,6563,2643,17193,0,128,2904,2003,992,0,-451,-500,726,581,996,0,0
2024-04-19,38,29796,30792,27213,2221,6562,1418,17143,0,16,2070,1003,991,1004,-450,-30,999,1397,996,1419,0
2024-10-11,46,25413,26589,23926,1576,6622,0,17194,0,9,3380,1000,-1,754,-452,-214,999,1397,0,999,0
2024-03-12,40,36131,37539,32974,2476,6562,0,17019,0,9,2587,1607,656,821,77,0,475,627,753,-799,0
2024-02-25,39,35195,35805,31991,2302,6562,0,16928,0,10,493,1905,896,761,234,74,848,1399,887,363,0
2024-04-29,33,24602,27104,22947,4601,6562,3990,17143,0,11,3188,999,991,-212,-287,-491,637,939,996,-1001,0
2024-01-14,34,39237,40730,36092,1977,6488,0,16753,0,6,3151,1269,-4,420,-415,-468,357,1398,611,719,0
2024-06-20,32,22591,24004,20328,732,6562,7691,17193,0,6,-579,2006,991,361,-380,-527,392,1399,981,0,0
2024-01-14,1,26400,27974,24100,877,6488,0,16753,0,19,2056,1912,-4,1003,-451,-500,822,1399,989,778,0
2024-11-02,5,21732,23595,19853,544,6622,0,17194,0,281,800,1894,-1,950,-452,-529,882,1398,0,1368,0
2024-08-02,3,21095,21601,19362,527,6563,0,17193,0,6,676,1369,992,1,150,0,955,1399,996,85,0
2024-09-02,39,29990,34423,27820,1087,6622,104,16396,0,12,3184,1404,180,-1017,-452,-335,-1021,1397,419,-1096,0
2024-02-13,6,22280,25268,20964,2526,6562,0,16877,0,1495,4656,1072,-4,831,-358,-531,518,484,279,322,0
2024-02-25,45,27075,28362,24566,2502,6562,0,16928,0,564,961,966,351,253,-112,-11,394,1286,349,28,0
2024-10-09,3,20651,22387,19481,1981,6622,0,17194,0,633,3942,998,-1,959,-75,-527,999,1397,0,931,0
2024-11-04,13,24868,28861,22581,364,6622,0,17194,0,43,110,1182,-1,-1016,-322,-231,-685,1359,0,-1095,0
2024-08-04,33,19875,21204,18380,2383,6563,4715,17193,0,829,3194,1326,978,0,19,0,597,1397,997,752,0
2024-01-06,41,34511,36104,31372,910,6488,0,16734,0,8,332,1487,-4,921,-450,-531,1019,1085,997,439,0
2024-08-07,20,23361,25073,21942,3381,6563,4378,17193,0,12,3438,2005,992,0,-451,-529,-220,793,996,0,0
2024-06-25,25,24099,25581,21395,411,6562,9413,17193,0,4,-757,1721,992,1002,-451,-527,1016,697,995,990,0
